,city_ascii,lat,lng,admin_name,population
2915,Taito,35.7126,139.78,Tokyo,210528.0
2946,Takarazuka,34.8114,135.3406,Hyogo,224055.0
2947,Atsugicho,35.4333,139.3667,Kanagawa,223815.0
2967,Ota,36.2911,139.3754,Gunma,222806.0
2975,Hachinohe,40.5123,141.4884,Aomori,222799.0
3009,Nishitokyo,35.7256,139.5383,Tokyo,207436.0
3111,Kure,34.25,132.5667,Hiroshima,212159.0
3132,Isesaki,36.3114,139.1968,Gunma,210332.0
3195,Kodaira,35.7285,139.4774,Tokyo,196959.0
3196,Itami,34.7833,135.4,Hyogo,198522.0
3199,Kamirenjaku,35.6836,139.5595,Tokyo,194460.0
3206,Nagareyama,35.8563,139.9029,Chiba,200298.0
3223,Yachiyo,35.7224,140.0999,Chiba,200538.0
3254,Matsue,35.4708,133.0519,Shimane,201802.0
3320,Higashi-Hiroshima,34.4167,132.7333,Hiroshima,197347.0
3327,Hino,35.6713,139.3951,Tokyo,190598.0
3347,Suzuka,34.882,136.5842,Mie,195250.0
3378,Kumagaya,36.1474,139.3886,Saitama,193190.0
3387,Yamaguchi,34.1833,131.4667,Yamaguchi,193761.0
3426,Anjomachi,34.9587,137.0803,Aichi,188801.0
3432,Odawara,35.25,139.15,Kanagawa,189038.0
3433,Kishiwada,34.4667,135.3667,Osaka,188015.0
3452,Numazu,35.0956,138.8634,Shizuoka,187653.0
3454,Tachikawa,35.6942,139.4197,Tokyo,181115.0
3467,Kofu,35.6621,138.5682,Yamanashi,187144.0
3474,Tottori,35.5,134.2333,Tottori,187323.0
3476,Joetsu,37.1479,138.2361,Niigata,187291.0
3504,Toyokawa,34.8268,137.3759,Aichi,183965.0
3511,Chuo-ku,35.6706,139.772,Tokyo,169995.0
3527,Narashino,35.6804,140.0265,Chiba,174990.0
3543,Uji,34.8844,135.7997,Kyoto,179626.0
3600,Urayasu,35.6539,139.9022,Chiba,169749.0
3629,Kamakurayama,35.3197,139.5525,Kanagawa,172929.0
3700,Hitachi,36.5991,140.6515,Ibaraki,172709.0
3724,Izumo,35.3667,132.7667,Shimane,171995.0
3729,Niiza,35.7935,139.5653,Saitama,164653.0
3746,Sakura,35.7167,140.2167,Chiba,169059.0
3750,Tomakomai,42.6341,141.6055,Hokkaido,170223.0
3761,Nishio,34.8333,137.0667,Aichi,168992.0
3781,Oyama,36.3146,139.8002,Tochigi,167874.0
3815,Iwata,34.7179,137.8515,Shizuoka,165688.0
3816,Takaoka,36.7541,137.0257,Toyama,165880.0
3829,Obihiro,42.9167,143.2,Hokkaido,165684.0
3833,Hadano,35.3667,139.2167,Kanagawa,164292.0
3834,Kushiro,42.9833,144.3833,Hokkaido,165699.0
3876,Ube,33.95,131.25,Yamaguchi,162873.0
3896,Musashino,35.7177,139.5661,Tokyo,148971.0
3956,Miyakonojo,31.7167,131.0667,Miyazaki,159878.0
3972,Higashimurayama,35.7546,139.4685,Tokyo,150458.0
3975,Ogaki,35.3594,136.6129,Gifu,158386.0
3984,Matsuzaka,34.5779,136.5276,Mie,158472.0
3997,Daiwanishi,34.8333,135.4167,Hyogo,155165.0
4039,Kariya,34.9893,137.0021,Aichi,153178.0
4044,Hitachi-Naka,36.3967,140.5347,Ibaraki,154311.0
4087,Tama,35.6369,139.4463,Tokyo,147252.0
4092,Tochigi,36.3813,139.7303,Tochigi,153508.0
4099,Noda,35.95,139.8667,Chiba,152227.0
4115,Ueda,36.4019,138.2491,Nagano,152948.0
4120,Moriguchi,34.7375,135.5642,Osaka,141849.0
4126,Kawashiri,34.8301,135.4173,Osaka,152076.0
4146,Kukichuo,36.0621,139.6668,Saitama,150197.0
4157,Asaka,35.7972,139.5939,Saitama,143915.0
4161,Sayama,35.853,139.4122,Saitama,148474.0
4196,Komaki,35.291,136.9121,Aichi,147897.0
4199,Toda,35.8176,139.6779,Saitama,142352.0
4212,Imabari,34.0667,133.0,Ehime,149209.0
4226,Iruma,35.8358,139.3911,Saitama,145778.0
4245,Yonago,35.4333,133.3333,Tottori,147210.0
4284,Misato,35.8301,139.8723,Chiba,141913.0
4322,Kusatsu,35.0167,135.9667,Shiga,143230.0
4324,Kakamigahara,35.3988,136.8484,Gifu,143641.0
4331,Okinawa,26.3342,127.8056,Okinawa,142094.0
4354,Ashikaga,36.3402,139.4497,Tochigi,142882.0
4386,Fukayacho,36.1975,139.2815,Saitama,141336.0
4405,Fujita,34.8674,138.2577,Shizuoka,140947.0
4424,Kokubunji,35.7109,139.4622,Tokyo,129619.0
4427,Ebina,35.4464,139.3908,Kanagawa,135557.0
4449,Kuwana,35.0667,136.6833,Mie,138798.0
4460,Mino,34.8269,135.4704,Osaka,136976.0
4464,Koga,36.1782,139.7554,Ibaraki,138237.0
4470,Ishizaki,38.4176,141.3027,Miyagi,138856.0
4478,Tsuchiura,36.0667,140.2,Ibaraki,137825.0
4485,Koganei,35.6995,139.503,Tokyo,127226.0
4493,Zama,35.4833,139.4,Kanagawa,130753.0
4495,Shunan,34.05,131.8,Yamaguchi,137899.0
4522,Minoo,34.8333,135.4667,Osaka,134435.0
4524,Kisarazu,35.376,139.9168,Chiba,136118.0
4537,Yaizu,34.8669,138.3247,Shizuoka,136028.0
4543,Inazawa,35.2647,136.7969,Aichi,134938.0
4629,Isahaya,32.85,130.0667,Nagasaki,133512.0
4632,Ome,35.788,139.2758,Tokyo,132436.0
4645,Abiko,35.8667,140.0333,Chiba,130290.0
4686,Narita,35.7767,140.3183,Chiba,130689.0
4710,Onomichi,34.4167,133.2,Hiroshima,130143.0
4776,Iwakuni,34.1664,132.2189,Yamaguchi,128401.0
4779,Seto,35.2236,137.0842,Aichi,127327.0
4801,Kadoma,34.7333,135.5833,Osaka,118319.0
4814,Omiyacho,35.2221,138.6216,Shizuoka,127252.0
4821,Osaki,38.5771,140.9556,Miyagi,127135.0
4845,Iizuka,33.65,130.6833,Fukuoka,126136.0
4881,Honcho,35.758,139.5299,Saitama,116477.0
4887,Daitocho,34.7167,135.6167,Osaka,118812.0
4923,Matsubara,34.5833,135.55,Osaka,117186.0
4931,Kirishima,31.7406,130.7631,Kagoshima,123812.0
4938,Uruma,26.3792,127.8575,Okinawa,122371.0
4960,Ise,34.4833,136.7167,Mie,122432.0
4988,Honmachi,32.5,130.6,Kumamoto,122134.0
5000,Kashiwara,34.5167,135.8,Nara,121604.0
5002,Urasoe,26.2458,127.7219,Okinawa,115855.0
5014,Tsuruoka,38.7272,139.8267,Yamagata,121371.0
5055,Ebetsu,43.1037,141.5362,Hokkaido,119819.0
5056,Fujimino,35.8795,139.5198,Saitama,112745.0
5070,Handa,34.8919,136.9381,Aichi,117544.0
5104,Kasuga,33.5333,130.4667,Fukuoka,111144.0
5121,Ikoma,34.7,135.7,Nara,116518.0
