pref_id,,Prefecture,Life_expectancy,lat,long,city_en,pref_pop,Station_Name,Shinkansen_Line
1,874,Hokkaido,84.0,43.06417,141.34694,Sapporo,4724121.0,Kikonai,Hokkaido_Shinkansen
1,875,Hokkaido,84.0,43.06417,141.34694,Sapporo,4724121.0,Shin-Hakodate-Hokuto,Hokkaido_Shinkansen
1,876,Hokkaido,84.0,43.06417,141.34694,Asahikawa,4724121.0,Kikonai,Hokkaido_Shinkansen
1,877,Hokkaido,84.0,43.06417,141.34694,Asahikawa,4724121.0,Shin-Hakodate-Hokuto,Hokkaido_Shinkansen
1,878,Hokkaido,84.0,43.06417,141.34694,Hakodate,4724121.0,Kikonai,Hokkaido_Shinkansen
1,879,Hokkaido,84.0,43.06417,141.34694,Hakodate,4724121.0,Shin-Hakodate-Hokuto,Hokkaido_Shinkansen
1,880,Hokkaido,84.0,43.06417,141.34694,Tomakomai,4724121.0,Kikonai,Hokkaido_Shinkansen
1,881,Hokkaido,84.0,43.06417,141.34694,Tomakomai,4724121.0,Shin-Hakodate-Hokuto,Hokkaido_Shinkansen
1,882,Hokkaido,84.0,43.06417,141.34694,Obihiro,4724121.0,Kikonai,Hokkaido_Shinkansen
1,883,Hokkaido,84.0,43.06417,141.34694,Obihiro,4724121.0,Shin-Hakodate-Hokuto,Hokkaido_Shinkansen
1,884,Hokkaido,84.0,43.06417,141.34694,Kushiro,4724121.0,Kikonai,Hokkaido_Shinkansen
1,885,Hokkaido,84.0,43.06417,141.34694,Kushiro,4724121.0,Shin-Hakodate-Hokuto,Hokkaido_Shinkansen
1,886,Hokkaido,84.0,43.06417,141.34694,Ebetsu,4724121.0,Kikonai,Hokkaido_Shinkansen
1,887,Hokkaido,84.0,43.06417,141.34694,Ebetsu,4724121.0,Shin-Hakodate-Hokuto,Hokkaido_Shinkansen
1,888,Hokkaido,84.0,43.06417,141.34694,Koencho,4724121.0,Kikonai,Hokkaido_Shinkansen
1,889,Hokkaido,84.0,43.06417,141.34694,Koencho,4724121.0,Shin-Hakodate-Hokuto,Hokkaido_Shinkansen
1,890,Hokkaido,84.0,43.06417,141.34694,Otaru,4724121.0,Kikonai,Hokkaido_Shinkansen
1,891,Hokkaido,84.0,43.06417,141.34694,Otaru,4724121.0,Shin-Hakodate-Hokuto,Hokkaido_Shinkansen
1,892,Hokkaido,84.0,43.06417,141.34694,Chitose,4724121.0,Kikonai,Hokkaido_Shinkansen
1,893,Hokkaido,84.0,43.06417,141.34694,Chitose,4724121.0,Shin-Hakodate-Hokuto,Hokkaido_Shinkansen
1,894,Hokkaido,84.0,43.06417,141.34694,Muroran,4724121.0,Kikonai,Hokkaido_Shinkansen
1,895,Hokkaido,84.0,43.06417,141.34694,Muroran,4724121.0,Shin-Hakodate-Hokuto,Hokkaido_Shinkansen
1,896,Hokkaido,84.0,43.06417,141.34694,Iwamizawa,4724121.0,Kikonai,Hokkaido_Shinkansen
1,897,Hokkaido,84.0,43.06417,141.34694,Iwamizawa,4724121.0,Shin-Hakodate-Hokuto,Hokkaido_Shinkansen
1,898,Hokkaido,84.0,43.06417,141.34694,Eniwa,4724121.0,Kikonai,Hokkaido_Shinkansen
